"","indiv","Block","Col","Row","Population","Family","TempTrt","WaterTrt","variable","LLL","Day","DayN"
"2956","130","MM5-2","F","3","Little Jameson","LIJ4","Hot","Dry","LLL_0526",35.67,2014-05-26,14
"2957","131","MM5-2","G","3","Middle Yuba","MYU2","Hot","Dry","LLL_0526",28.77,2014-05-26,14
"2958","132","MM5-2","H","3","Mill Creek","MIL2","Hot","Dry","LLL_0526",30.67,2014-05-26,14
"2959","133","MM5-2","I","3","North Fork Middle Tule","NMT3","Hot","Dry","LLL_0526",46.23,2014-05-26,14
"2960","134","MM5-2","J","3","Paradise Creek","PRD6","Hot","Dry","LLL_0526",18.57,2014-05-26,14
"2961","135","MM5-2","K","3","Rainbow Pool","RBW4","Hot","Dry","LLL_0526",6.64,2014-05-26,14
"2962","136","MM5-2","L","3","Redwood Creek","RWD5","Hot","Dry","LLL_0526",38.39,2014-05-26,14
"2963","137","MM5-2","M","3","Rock Creek","007aN1","Hot","Dry","LLL_0526",18.79,2014-05-26,14
"2964","138","MM5-2","N","3","Wawona","189aC2","Hot","Dry","LLL_0526",20.23,2014-05-26,14
"2965","139","MM5-2","A","4","West Fork Mojave River","WFM2","Hot","Dry","LLL_0526",10.14,2014-05-26,14
"2966","140","MM5-2","B","4","Whitewater Canyon","WWC8","Hot","Dry","LLL_0526",36.9,2014-05-26,14
"2967","142","MM5-2","D","4","Cuyamaca Rancho","CUR2","Hot","Dry","LLL_0526",28.16,2014-05-26,14
"2968","144","MM5-2","F","4","Grade Road Palomar","GRP6","Hot","Dry","LLL_0526",37.69,2014-05-26,14
"2969","145","MM5-2","G","4","Hauser Creek","HAU2","Hot","Dry","LLL_0526",25.88,2014-05-26,14
"2970","146","MM5-2","H","4","Little Jameson","LIJ6","Hot","Dry","LLL_0526",21.8,2014-05-26,14
"2971","147","MM5-2","I","4","Middle Yuba","MYU2","Hot","Dry","LLL_0526",24.45,2014-05-26,14
"2972","149","MM5-2","K","4","North Fork Middle Tule","NMT1","Hot","Dry","LLL_0526",23.64,2014-05-26,14
"2973","150","MM5-2","L","4","Rainbow Pool","RBW2","Hot","Dry","LLL_0526",30.75,2014-05-26,14
"2974","151","MM5-2","M","4","Redwood Creek","RWD10","Hot","Dry","LLL_0526",18,2014-05-26,14
"2975","153","MM5-2","A","5","Wawona","187aC2","Hot","Dry","LLL_0526",40.73,2014-05-26,14
"2976","154","MM5-2","B","5","West Fork Mojave River","WFM10","Hot","Dry","LLL_0526",34.84,2014-05-26,14
"2977","155","MM5-2","C","5","Whitewater Canyon","WWC6","Hot","Dry","LLL_0526",23.88,2014-05-26,14
"2978","156","MM5-2","D","5","Cottonwood Creek","361a","Hot","Dry","LLL_0526",34.2,2014-05-26,14
"2979","157","MM5-2","E","5","Cuyamaca Rancho","CUR10","Hot","Dry","LLL_0526",44.05,2014-05-26,14
"2980","158","MM5-2","F","5","Deep Creek","DPC4","Hot","Dry","LLL_0526",31.79,2014-05-26,14
"2981","159","MM5-2","G","5","Grade Road Palomar","GRP2","Hot","Dry","LLL_0526",42.79,2014-05-26,14
"2982","160","MM5-2","H","5","Hauser Creek","HAU10","Hot","Dry","LLL_0526",15.13,2014-05-26,14
"2983","161","MM5-2","I","5","Little Jameson","LIJ10","Hot","Dry","LLL_0526",34.24,2014-05-26,14
"2984","162","MM5-2","J","5","Middle Yuba","MYU4","Hot","Dry","LLL_0526",34.79,2014-05-26,14
"2985","163","MM5-2","K","5","Mill Creek","MIL10","Hot","Dry","LLL_0526",30.93,2014-05-26,14
"2986","164","MM5-2","L","5","North Fork Middle Tule","NMT8","Hot","Dry","LLL_0526",28.69,2014-05-26,14
"2987","166","MM5-2","N","5","Rainbow Pool","RBW2","Hot","Dry","LLL_0526",27.35,2014-05-26,14
"2988","167","MM5-2","A","6","Redwood Creek","RWD7","Hot","Dry","LLL_0526",35.06,2014-05-26,14
"2989","169","MM5-2","C","6","Wawona","191aC2","Hot","Dry","LLL_0526",16.16,2014-05-26,14
"2990","170","MM5-2","D","6","West Fork Mojave River","WFM4","Hot","Dry","LLL_0526",33.11,2014-05-26,14
"2991","171","MM5-2","E","6","Whitewater Canyon","WWC12","Hot","Dry","LLL_0526",37.59,2014-05-26,14
"2992","172","MM5-2","F","6","Cottonwood Creek","364a","Hot","Dry","LLL_0526",52.87,2014-05-26,14
"2993","173","MM5-2","G","6","Cuyamaca Rancho","CUR12","Hot","Dry","LLL_0526",28.84,2014-05-26,14
"2994","174","MM5-2","H","6","Deep Creek","DPC2","Hot","Dry","LLL_0526",41.95,2014-05-26,14
"2995","175","MM5-2","I","6","Grade Road Palomar","GRP4","Hot","Dry","LLL_0526",47.63,2014-05-26,14
"2996","176","MM5-2","J","6","Hauser Creek","HAU4","Hot","Dry","LLL_0526",36.49,2014-05-26,14
"2997","178","MM5-2","M","6","Mill Creek","MIL4","Hot","Dry","LLL_0526",25.28,2014-05-26,14
"2998","179","MM5-2","N","6","North Fork Middle Tule","NMT4","Hot","Dry","LLL_0526",25.36,2014-05-26,14
"2999","180","MM5-2","A","7","Paradise Creek","PRD4","Hot","Dry","LLL_0526",59.34,2014-05-26,14
"3000","181","MM5-2","B","7","Rainbow Pool","RBW4","Hot","Dry","LLL_0526",26.01,2014-05-26,14
"3001","182","MM5-2","C","7","Redwood Creek","RWD1","Hot","Dry","LLL_0526",27.96,2014-05-26,14
"3002","183","MM5-2","D","7","Rock Creek","005aN1","Hot","Dry","LLL_0526",29.09,2014-05-26,14
"3003","184","MM5-2","E","7","Wawona","183aC2","Hot","Dry","LLL_0526",28.72,2014-05-26,14
"3004","185","MM5-2","F","7","West Fork Mojave River","WFM12","Hot","Dry","LLL_0526",27.23,2014-05-26,14
"3005","186","MM5-2","G","7","Whitewater Canyon","WWC2","Hot","Dry","LLL_0526",42.12,2014-05-26,14
"3006","187","MM5-2","H","7","Cottonwood Creek","371a","Hot","Dry","LLL_0526",45.85,2014-05-26,14
"3007","188","MM5-2","I","7","Cuyamaca Rancho","CUR4","Hot","Dry","LLL_0526",38.78,2014-05-26,14
"3008","189","MM5-2","J","7","Deep Creek","DPC6","Hot","Dry","LLL_0526",17.52,2014-05-26,14
"3009","190","MM5-2","K","7","Grade Road Palomar","GRP4","Hot","Dry","LLL_0526",43.98,2014-05-26,14
"3010","191","MM5-2","K","6","Little Jameson","LIJ12","Hot","Dry","LLL_0526",38.21,2014-05-26,14
"3011","194","MM5-3","B","1","Mill Creek","MIL7","Hot","Wet","LLL_0526",28.13,2014-05-26,14
"3012","195","MM5-3","C","1","North Fork Middle Tule","NMT4","Hot","Wet","LLL_0526",31.2,2014-05-26,14
"3013","196","MM5-3","D","1","Paradise Creek","PRD1","Hot","Wet","LLL_0526",47.68,2014-05-26,14
"3014","197","MM5-3","E","1","Rainbow Pool","RBW3","Hot","Wet","LLL_0526",23.44,2014-05-26,14
"3015","198","MM5-3","F","1","Redwood Creek","RWD9","Hot","Wet","LLL_0526",34.28,2014-05-26,14
"3016","199","MM5-3","G","1","Rock Creek","006aN1","Hot","Wet","LLL_0526",33.71,2014-05-26,14
"3017","200","MM5-3","H","1","Wawona","186aC2","Hot","Wet","LLL_0526",42.2,2014-05-26,14
"3018","202","MM5-3","J","1","Whitewater Canyon","WWC5","Hot","Wet","LLL_0526",13.24,2014-05-26,14
"3019","203","MM5-3","K","1","Cottonwood Creek","346a","Hot","Wet","LLL_0526",31.97,2014-05-26,14
"3020","204","MM5-3","L","1","Cuyamaca Rancho","CUR1","Hot","Wet","LLL_0526",8.37,2014-05-26,14
"3021","205","MM5-3","M","1","Deep Creek","DPC5","Hot","Wet","LLL_0526",37.47,2014-05-26,14
"3022","206","MM5-3","N","1","Grade Road Palomar","GRP1","Hot","Wet","LLL_0526",45.89,2014-05-26,14
"3023","207","MM5-3","A","2","Hauser Creek","HAU3","Hot","Wet","LLL_0526",47.84,2014-05-26,14
"3024","208","MM5-3","B","2","Little Jameson","LIJ3","Hot","Wet","LLL_0526",19.98,2014-05-26,14
"3025","209","MM5-3","C","2","Middle Yuba","MYU1","Hot","Wet","LLL_0526",18.19,2014-05-26,14
"3026","210","MM5-3","D","2","Mill Creek","MIL9","Hot","Wet","LLL_0526",20.08,2014-05-26,14
"3027","211","MM5-3","E","2","North Fork Middle Tule","NMT5","Hot","Wet","LLL_0526",21.97,2014-05-26,14
"3028","212","MM5-3","F","2","Paradise Creek","PRD7","Hot","Wet","LLL_0526",30.56,2014-05-26,14
"3029","213","MM5-3","G","2","Rainbow Pool","RBW1","Hot","Wet","LLL_0526",33.89,2014-05-26,14
"3030","214","MM5-3","H","2","Redwood Creek","RWD5","Hot","Wet","LLL_0526",45.36,2014-05-26,14
"3031","215","MM5-3","I","2","Rock Creek","004aN1","Hot","Wet","LLL_0526",39.64,2014-05-26,14
"3032","216","MM5-3","J","2","Wawona","190aC2","Hot","Wet","LLL_0526",28.19,2014-05-26,14
"3033","217","MM5-3","K","2","West Fork Mojave River","WFM5","Hot","Wet","LLL_0526",24.07,2014-05-26,14
"3034","218","MM5-3","L","2","Whitewater Canyon","WWC3","Hot","Wet","LLL_0526",39.64,2014-05-26,14
"3035","219","MM5-3","M","2","Cottonwood Creek","356a","Hot","Wet","LLL_0526",35.13,2014-05-26,14
"3036","220","MM5-3","N","2","Cuyamaca Rancho","CUR3","Hot","Wet","LLL_0526",63.11,2014-05-26,14
"3037","221","MM5-3","A","3","Deep Creek","DPC3","Hot","Wet","LLL_0526",35.66,2014-05-26,14
"3038","222","MM5-3","B","3","Grade Road Palomar","GRP7","Hot","Wet","LLL_0526",45.33,2014-05-26,14
"3039","223","MM5-3","C","3","Hauser Creek","HAU9","Hot","Wet","LLL_0526",20.95,2014-05-26,14
"3040","224","MM5-3","D","3","Little Jameson","LIJ1","Hot","Wet","LLL_0526",14.07,2014-05-26,14
"3041","225","MM5-3","E","3","Middle Yuba","MYU3","Hot","Wet","LLL_0526",30.89,2014-05-26,14
"3042","226","MM5-3","F","3","Mill Creek","MIL5","Hot","Wet","LLL_0526",26.93,2014-05-26,14
"3043","227","MM5-3","G","3","North Fork Middle Tule","NMT7","Hot","Wet","LLL_0526",45.05,2014-05-26,14
"3044","228","MM5-3","H","3","Paradise Creek","PRD3","Hot","Wet","LLL_0526",22.99,2014-05-26,14
"3045","229","MM5-3","I","3","Rainbow Pool","RBW3","Hot","Wet","LLL_0526",42.33,2014-05-26,14
"3046","230","MM5-3","J","3","Redwood Creek","RWD2","Hot","Wet","LLL_0526",44.52,2014-05-26,14
"3047","231","MM5-3","K","3","Rock Creek","001aN1","Hot","Wet","LLL_0526",19.48,2014-05-26,14
"3048","232","MM5-3","L","3","Wawona","192aC2","Hot","Wet","LLL_0526",16.07,2014-05-26,14
"3049","233","MM5-3","M","3","West Fork Mojave River","WFM1","Hot","Wet","LLL_0526",37.75,2014-05-26,14
"3050","234","MM5-3","N","3","Whitewater Canyon","WWC11","Hot","Wet","LLL_0526",33.54,2014-05-26,14
"3051","235","MM5-3","A","4","Cottonwood Creek","355a","Hot","Wet","LLL_0526",38.06,2014-05-26,14
"3052","236","MM5-3","B","4","Cuyamaca Rancho","CUR5","Hot","Wet","LLL_0526",27.41,2014-05-26,14
"3053","238","MM5-3","D","4","Grade Road Palomar","GRP3","Hot","Wet","LLL_0526",40.75,2014-05-26,14
"3054","239","MM5-3","E","4","Hauser Creek","HAU11","Hot","Wet","LLL_0526",38.54,2014-05-26,14
"3055","240","MM5-3","F","4","Little Jameson","LIJ7","Hot","Wet","LLL_0526",27.16,2014-05-26,14
"3056","241","MM5-3","G","4","Middle Yuba","MYU3","Hot","Wet","LLL_0526",17.75,2014-05-26,14
"3057","242","MM5-3","H","4","Mill Creek","MIL1","Hot","Wet","LLL_0526",32.87,2014-05-26,14
"3058","243","MM5-3","I","4","North Fork Middle Tule","NMT2","Hot","Wet","LLL_0526",21.82,2014-05-26,14
"3059","244","MM5-3","J","4","Paradise Creek","PRD3","Hot","Wet","LLL_0526",24.37,2014-05-26,14
"3060","245","MM5-3","K","4","Rainbow Pool","RBW1","Hot","Wet","LLL_0526",32.89,2014-05-26,14
"3061","246","MM5-3","L","4","Redwood Creek","RWD7","Hot","Wet","LLL_0526",39.24,2014-05-26,14
"3062","247","MM5-3","M","4","Rock Creek","012aN1","Hot","Wet","LLL_0526",30.72,2014-05-26,14
"3063","248","MM5-3","N","4","Wawona","188aC2","Hot","Wet","LLL_0526",48.09,2014-05-26,14
"3064","249","MM5-3","A","5","West Fork Mojave River","WFM9","Hot","Wet","LLL_0526",33.15,2014-05-26,14
"3065","250","MM5-3","B","5","Whitewater Canyon","WWC9","Hot","Wet","LLL_0526",26.36,2014-05-26,14
"3066","251","MM5-3","C","5","Cottonwood Creek","347a","Hot","Wet","LLL_0526",25.01,2014-05-26,14
"3067","252","MM5-3","D","5","Cuyamaca Rancho","CUR7","Hot","Wet","LLL_0526",41.68,2014-05-26,14
"3068","253","MM5-3","E","5","Deep Creek","DPC3","Hot","Wet","LLL_0526",42.14,2014-05-26,14
"3069","254","MM5-3","F","5","Grade Road Palomar","GRP5","Hot","Wet","LLL_0526",48.52,2014-05-26,14
"3070","255","MM5-3","G","5","Hauser Creek","HAU5","Hot","Wet","LLL_0526",38.93,2014-05-26,14
"3071","256","MM5-3","H","5","Little Jameson","LIJ5","Hot","Wet","LLL_0526",31.74,2014-05-26,14
"3072","257","MM5-3","I","5","Middle Yuba","MYU1","Hot","Wet","LLL_0526",23.87,2014-05-26,14
"3073","258","MM5-3","J","5","Mill Creek","MIL3","Hot","Wet","LLL_0526",41.24,2014-05-26,14
"3074","259","MM5-3","K","5","North Fork Middle Tule","NMT6","Hot","Wet","LLL_0526",16.66,2014-05-26,14
"3075","260","MM5-3","L","5","Paradise Creek","PRD5","Hot","Wet","LLL_0526",31.59,2014-05-26,14
"3076","261","MM5-3","M","5","Rainbow Pool","RBW3","Hot","Wet","LLL_0526",20.43,2014-05-26,14
"3077","262","MM5-3","N","5","Redwood Creek","RWD1","Hot","Wet","LLL_0526",23.16,2014-05-26,14
"3078","263","MM5-3","A","6","Rock Creek","014aN1","Hot","Wet","LLL_0526",29.51,2014-05-26,14
"3079","264","MM5-3","B","6","Wawona","184aC2","Hot","Wet","LLL_0526",37.17,2014-05-26,14
"3080","265","MM5-3","C","6","West Fork Mojave River","WFM3","Hot","Wet","LLL_0526",30.92,2014-05-26,14
"3081","266","MM5-3","D","6","Whitewater Canyon","WWC7","Hot","Wet","LLL_0526",21.03,2014-05-26,14
"3082","267","MM5-3","E","6","Cottonwood Creek","370a","Hot","Wet","LLL_0526",36.64,2014-05-26,14
"3083","268","MM5-3","F","6","Cuyamaca Rancho","CUR9","Hot","Wet","LLL_0526",25.77,2014-05-26,14
"3084","269","MM5-3","G","6","Deep Creek","DPC1","Hot","Wet","LLL_0526",37.74,2014-05-26,14
"3085","270","MM5-3","H","6","Grade Road Palomar","GRP3","Hot","Wet","LLL_0526",28.79,2014-05-26,14
"3086","271","MM5-3","I","6","Hauser Creek","HAU1","Hot","Wet","LLL_0526",25.44,2014-05-26,14
"3087","272","MM5-3","J","6","Little Jameson","LIJ9","Hot","Wet","LLL_0526",30.26,2014-05-26,14
"3088","273","MM5-3","L","6","Mill Creek","MIL11","Hot","Wet","LLL_0526",24.98,2014-05-26,14
"3089","274","MM5-3","M","6","North Fork Middle Tule","NMT1","Hot","Wet","LLL_0526",29.27,2014-05-26,14
"3090","275","MM5-3","N","6","Paradise Creek","PRD6","Hot","Wet","LLL_0526",46.4,2014-05-26,14
"3091","276","MM5-3","A","7","Rainbow Pool","RBW1","Hot","Wet","LLL_0526",20.54,2014-05-26,14
"3092","278","MM5-3","C","7","Rock Creek","009aN1","Hot","Wet","LLL_0526",20.33,2014-05-26,14
"3093","279","MM5-3","D","7","Wawona","182aC2","Hot","Wet","LLL_0526",25.57,2014-05-26,14
"3094","280","MM5-3","E","7","West Fork Mojave River","WFM11","Hot","Wet","LLL_0526",34.69,2014-05-26,14
"3095","281","MM5-3","G","7","Cottonwood Creek","353a","Hot","Wet","LLL_0526",36.28,2014-05-26,14
"3096","282","MM5-3","H","7","Cuyamaca Rancho","CUR11","Hot","Wet","LLL_0526",31.85,2014-05-26,14
"3097","283","MM5-3","I","7","Deep Creek","DPC5","Hot","Wet","LLL_0526",28.13,2014-05-26,14
"3098","284","MM5-3","K","7","Hauser Creek","HAU7","Hot","Wet","LLL_0526",34.8,2014-05-26,14
"3099","285","MM5-3","L","7","Little Jameson","LIJ11","Hot","Wet","LLL_0526",10.58,2014-05-26,14
"3100","288","MM5-3","F","7","Whitewater Canyon","WWC1","Hot","Wet","LLL_0526",31.04,2014-05-26,14
"3101","289","MM5-4","A","1","Mill Creek","MIL2","Hot","Wet","LLL_0526",25.64,2014-05-26,14
"3102","290","MM5-4","C","1","Paradise Creek","PRD4","Hot","Wet","LLL_0526",36.83,2014-05-26,14
"3103","291","MM5-4","D","1","Rainbow Pool","RBW2","Hot","Wet","LLL_0526",37.54,2014-05-26,14
"3104","292","MM5-4","E","1","Redwood Creek","RWD7","Hot","Wet","LLL_0526",31.19,2014-05-26,14
"3105","293","MM5-4","F","1","Rock Creek","005aN1","Hot","Wet","LLL_0526",21.32,2014-05-26,14
"3106","295","MM5-4","H","1","West Fork Mojave River","WFM12","Hot","Wet","LLL_0526",50.42,2014-05-26,14
"3107","296","MM5-4","I","1","Whitewater Canyon","WWC12","Hot","Wet","LLL_0526",41.02,2014-05-26,14
"3108","297","MM5-4","J","1","Cottonwood Creek","362a","Hot","Wet","LLL_0526",15.37,2014-05-26,14
"3109","298","MM5-4","K","1","Cuyamaca Rancho","CUR10","Hot","Wet","LLL_0526",59.23,2014-05-26,14
"3110","299","MM5-4","L","1","Deep Creek","DPC4","Hot","Wet","LLL_0526",24.99,2014-05-26,14
"3111","300","MM5-4","M","1","Grade Road Palomar","GRP4","Hot","Wet","LLL_0526",30.93,2014-05-26,14
"3112","301","MM5-4","N","1","Hauser Creek","HAU10","Hot","Wet","LLL_0526",40.38,2014-05-26,14
"3113","302","MM5-4","B","1","North Fork Middle Tule","NMT8","Hot","Wet","LLL_0526",39.34,2014-05-26,14
"3114","303","MM5-4","A","2","Little Jameson","LIJ12","Hot","Wet","LLL_0526",27.18,2014-05-26,14
"3115","304","MM5-4","B","2","Middle Yuba","MYU2","Hot","Wet","LLL_0526",46.95,2014-05-26,14
"3116","305","MM5-4","C","2","Mill Creek","MIL10","Hot","Wet","LLL_0526",24.24,2014-05-26,14
"3117","306","MM5-4","D","2","North Fork Middle Tule","NMT5","Hot","Wet","LLL_0526",40.89,2014-05-26,14
"3118","307","MM5-4","E","2","Paradise Creek","PRD6","Hot","Wet","LLL_0526",27.55,2014-05-26,14
"3119","308","MM5-4","F","2","Rainbow Pool","RBW4","Hot","Wet","LLL_0526",18.42,2014-05-26,14
"3120","309","MM5-4","G","2","Redwood Creek","RWD8","Hot","Wet","LLL_0526",40.84,2014-05-26,14
"3121","310","MM5-4","H","2","Rock Creek","011aN1","Hot","Wet","LLL_0526",42.76,2014-05-26,14
"3122","311","MM5-4","I","2","Wawona","187aC2","Hot","Wet","LLL_0526",37.86,2014-05-26,14
"3123","312","MM5-4","J","2","West Fork Mojave River","WFM6","Hot","Wet","LLL_0526",47.49,2014-05-26,14
"3124","313","MM5-4","K","2","Whitewater Canyon","WWC2","Hot","Wet","LLL_0526",25.21,2014-05-26,14
"3125","314","MM5-4","L","2","Cottonwood Creek","361a","Hot","Wet","LLL_0526",17.94,2014-05-26,14
"3126","315","MM5-4","M","2","Cuyamaca Rancho","CUR12","Hot","Wet","LLL_0526",24,2014-05-26,14
"3127","316","MM5-4","N","2","Deep Creek","DPC2","Hot","Wet","LLL_0526",33.41,2014-05-26,14
"3128","317","MM5-4","A","3","Grade Road Palomar","GRP6","Hot","Wet","LLL_0526",33.6,2014-05-26,14
"3129","318","MM5-4","B","3","Hauser Creek","HAU12","Hot","Wet","LLL_0526",37.08,2014-05-26,14
"3130","319","MM5-4","C","3","Little Jameson","LIJ10","Hot","Wet","LLL_0526",8.24,2014-05-26,14
"3131","320","MM5-4","D","3","Middle Yuba","MYU4","Hot","Wet","LLL_0526",15.42,2014-05-26,14
"3132","321","MM5-4","E","3","Mill Creek","MIL4","Hot","Wet","LLL_0526",43.28,2014-05-26,14
"3133","322","MM5-4","F","3","North Fork Middle Tule","NMT7","Hot","Wet","LLL_0526",28.18,2014-05-26,14
"3134","323","MM5-4","G","3","Paradise Creek","PRD2","Hot","Wet","LLL_0526",21.31,2014-05-26,14
"3135","324","MM5-4","H","3","Rainbow Pool","RBW2","Hot","Wet","LLL_0526",30.49,2014-05-26,14
"3136","325","MM5-4","I","3","Redwood Creek","RWD10","Hot","Wet","LLL_0526",20.76,2014-05-26,14
"3137","326","MM5-4","J","3","Rock Creek","013aN1","Hot","Wet","LLL_0526",26.88,2014-05-26,14
"3138","327","MM5-4","K","3","Wawona","185aC2","Hot","Wet","LLL_0526",38.53,2014-05-26,14
"3139","328","MM5-4","L","3","West Fork Mojave River","WFM10","Hot","Wet","LLL_0526",33.32,2014-05-26,14
"3140","329","MM5-4","M","3","Whitewater Canyon","WWC8","Hot","Wet","LLL_0526",48.2,2014-05-26,14
"3141","330","MM5-4","N","3","Cottonwood Creek","348a","Hot","Wet","LLL_0526",32.05,2014-05-26,14
"3142","331","MM5-4","A","4","Cuyamaca Rancho","CUR6","Hot","Wet","LLL_0526",44.16,2014-05-26,14
"3143","332","MM5-4","B","4","Deep Creek","DPC4","Hot","Wet","LLL_0526",17.04,2014-05-26,14
"3144","333","MM5-4","C","4","Grade Road Palomar","GRP2","Hot","Wet","LLL_0526",35.39,2014-05-26,14
"3145","334","MM5-4","D","4","Hauser Creek","HAU8","Hot","Wet","LLL_0526",34.81,2014-05-26,14
"3146","335","MM5-4","E","4","Little Jameson","LIJ6","Hot","Wet","LLL_0526",8.69,2014-05-26,14
"3147","336","MM5-4","F","4","Middle Yuba","MYU2","Hot","Wet","LLL_0526",17.69,2014-05-26,14
"3148","337","MM5-4","G","4","Mill Creek","MIL6","Hot","Wet","LLL_0526",31.67,2014-05-26,14
"3149","338","MM5-4","H","4","North Fork Middle Tule","NMT3","Hot","Wet","LLL_0526",31.61,2014-05-26,14
"3150","339","MM5-4","I","4","Paradise Creek","PRD4","Hot","Wet","LLL_0526",27.53,2014-05-26,14
"3151","340","MM5-4","J","4","Rainbow Pool","RBW2","Hot","Wet","LLL_0526",41.75,2014-05-26,14
"3152","341","MM5-4","K","4","Redwood Creek","RWD2","Hot","Wet","LLL_0526",25.85,2014-05-26,14
"3153","342","MM5-4","L","4","Rock Creek","015aN1","Hot","Wet","LLL_0526",42.32,2014-05-26,14
"3154","343","MM5-4","M","4","Wawona","189aC2","Hot","Wet","LLL_0526",42.39,2014-05-26,14
"3155","344","MM5-4","N","4","West Fork Mojave River","WFM8","Hot","Wet","LLL_0526",32.86,2014-05-26,14
"3156","345","MM5-4","A","5","Whitewater Canyon","WWC6","Hot","Wet","LLL_0526",41.53,2014-05-26,14
"3157","346","MM5-4","B","5","Cottonwood Creek","371a","Hot","Wet","LLL_0526",45.93,2014-05-26,14
"3158","347","MM5-4","C","5","Cuyamaca Rancho","CUR4","Hot","Wet","LLL_0526",33.28,2014-05-26,14
"3159","348","MM5-4","D","5","Deep Creek","DPC2","Hot","Wet","LLL_0526",25.18,2014-05-26,14
"3160","349","MM5-4","E","5","Grade Road Palomar","GRP6","Hot","Wet","LLL_0526",38.38,2014-05-26,14
"3161","350","MM5-4","F","5","Hauser Creek","HAU4","Hot","Wet","LLL_0526",52.96,2014-05-26,14
"3162","351","MM5-4","G","5","Little Jameson","LIJ8","Hot","Wet","LLL_0526",29.37,2014-05-26,14
"3163","352","MM5-4","H","5","Middle Yuba","MYU4","Hot","Wet","LLL_0526",26.57,2014-05-26,14
"3164","353","MM5-4","I","5","Mill Creek","MIL8","Hot","Wet","LLL_0526",38.91,2014-05-26,14
"3165","354","MM5-4","J","5","North Fork Middle Tule","NMT1","Hot","Wet","LLL_0526",42.4,2014-05-26,14
"3166","355","MM5-4","K","5","Paradise Creek","PRD2","Hot","Wet","LLL_0526",21.01,2014-05-26,14
"3167","356","MM5-4","L","5","Rainbow Pool","RBW4","Hot","Wet","LLL_0526",34.07,2014-05-26,14
"3168","357","MM5-4","M","5","Redwood Creek","RWD5","Hot","Wet","LLL_0526",17.54,2014-05-26,14
"3169","358","MM5-4","N","5","Rock Creek","007aN1","Hot","Wet","LLL_0526",39.07,2014-05-26,14
"3170","359","MM5-4","A","6","Wawona","193aC2","Hot","Wet","LLL_0526",67.46,2014-05-26,14
"3171","360","MM5-4","B","6","West Fork Mojave River","WFM4","Hot","Wet","LLL_0526",42.85,2014-05-26,14
"3172","361","MM5-4","C","6","Whitewater Canyon","WWC10","Hot","Wet","LLL_0526",47.85,2014-05-26,14
"3173","362","MM5-4","D","6","Cottonwood Creek","349a","Hot","Wet","LLL_0526",20.6,2014-05-26,14
"3174","363","MM5-4","E","6","Cuyamaca Rancho","CUR2","Hot","Wet","LLL_0526",38.21,2014-05-26,14
"3175","364","MM5-4","F","6","Deep Creek","DPC6","Hot","Wet","LLL_0526",34.86,2014-05-26,14
"3176","365","MM5-4","G","6","Grade Road Palomar","GRP2","Hot","Wet","LLL_0526",44.64,2014-05-26,14
"3177","366","MM5-4","H","6","Hauser Creek","HAU6","Hot","Wet","LLL_0526",26.91,2014-05-26,14
"3178","367","MM5-4","I","6","Little Jameson","LIJ4","Hot","Wet","LLL_0526",34.85,2014-05-26,14
"3179","368","MM5-4","J","6","Middle Yuba","MYU6","Hot","Wet","LLL_0526",11.4,2014-05-26,14
"3180","369","MM5-4","K","6","Mill Creek","MIL12","Hot","Wet","LLL_0526",33.41,2014-05-26,14
"3181","370","MM5-4","L","6","North Fork Middle Tule","NMT4","Hot","Wet","LLL_0526",54.42,2014-05-26,14
"3182","371","MM5-4","M","6","Paradise Creek","PRD7","Hot","Wet","LLL_0526",55.27,2014-05-26,14
"3183","372","MM5-4","A","7","Redwood Creek","RWD1","Hot","Wet","LLL_0526",35.39,2014-05-26,14
"3184","373","MM5-4","B","7","Rock Creek","002aN1","Hot","Wet","LLL_0526",21.85,2014-05-26,14
"3185","374","MM5-4","C","7","Wawona","183aC2","Hot","Wet","LLL_0526",46.22,2014-05-26,14
"3186","375","MM5-4","D","7","West Fork Mojave River","WFM2","Hot","Wet","LLL_0526",39.73,2014-05-26,14
"3187","377","MM5-4","F","7","Cottonwood Creek","364a","Hot","Wet","LLL_0526",30.73,2014-05-26,14
"3188","378","MM5-4","G","7","Cuyamaca Rancho","CUR8","Hot","Wet","LLL_0526",47.18,2014-05-26,14
"3189","379","MM5-4","H","7","Deep Creek","DPC6","Hot","Wet","LLL_0526",26.32,2014-05-26,14
"3190","380","MM5-4","I","7","Grade Road Palomar","GRP4","Hot","Wet","LLL_0526",36.08,2014-05-26,14
"3191","381","MM5-4","J","7","Hauser Creek","HAU2","Hot","Wet","LLL_0526",54.12,2014-05-26,14
"3192","382","MM5-4","L","7","Middle Yuba","MYU6","Hot","Wet","LLL_0526",14.65,2014-05-26,14
"3193","383","MM5-4","K","7","Little Jameson","LIJ2","Hot","Wet","LLL_0526",18.46,2014-05-26,14
"3194","385","MM7-5","A","1","Cottonwood Creek","347a","Cool","Dry","LLL_0526",16.9,2014-05-26,14
"3195","386","MM7-5","B","1","Cuyamaca Rancho","CUR11","Cool","Dry","LLL_0526",18.01,2014-05-26,14
"3196","387","MM7-5","C","1","Deep Creek","DPC5","Cool","Dry","LLL_0526",27.66,2014-05-26,14
"3197","388","MM7-5","D","1","Grade Road Palomar","GRP7","Cool","Dry","LLL_0526",21.36,2014-05-26,14
